Image Name,MOS,AesA3_Score,AesA2_Score,AesA1_Score
ss01 (847).jpg,0.1776,3,2,Low
ss01 (1772).jpg,0.223,3,2,Low
ss02 (512).jpg,0.2194,3,2,Low
ss01 (151).jpg,0.1931,3,2,Low
ss03 (7636).jpg,0.1755,3,2,Low
ss01 (1214).jpg,0.1942,3,2,Low
ss01 (632).jpg,0.2922,4,2,Low
ss02 (755).jpg,0.2822,4,2,Low
ss01 (178).jpg,0.275,3,2,Low
ss01 (285).jpg,0.245,3,2,Low
ss01 (559).jpg,0.2295,3,2,Low
ss01 (1067).jpg,0.2462,3,2,Low
ss03 (6337).jpg,0.3179,4,2,Low
ss03 (6315).jpg,0.2797,4,2,Low
ss02 (338).jpg,0.3032,4,2,Low
ss01 (565).jpg,0.3162,4,2,Low
ss01 (1714).jpg,0.2168,3,2,Low
ss01 (333).jpg,0.2604,3,2,Low
ss02 (1649).jpg,0.3033,4,2,Low
ss01 (1709).jpg,0.2585,3,2,Low
ss01 (450).jpg,0.198,3,2,Low
ss01 (1125).jpg,0.2275,3,2,Low
ss01 (1465).jpg,0.3199,4,2,Low
ss02 (930).jpg,0.2314,3,2,Low
ss02 (1761).jpg,0.1977,3,2,Low
ss01 (307).jpg,0.2308,3,2,Low
ss01 (1869).jpg,0.2989,4,2,Low
ss01 (624).jpg,0.2807,4,2,Low
ss01 (687).jpg,0.2204,3,2,Low
ss02 (617).jpg,0.2394,3,2,Low
ss01 (464).jpg,0.2651,3,2,Low
ss01 (1917).jpg,0.2487,3,2,Low
ss01 (1493).jpg,0.2377,3,2,Low
ss02 (1083).jpg,0.2948,4,2,Low
ss03 (448).jpg,0.5436,6,3,Medium
ss03 (6531).jpg,0.4262,5,3,Medium
ss03 (7942).jpg,0.4933,5,3,Medium
ss02 (144).jpg,0.6083,6,3,Medium
ss03 (7681).jpg,0.5766,6,3,Medium
ss03 (5601).jpg,0.5895,6,3,Medium
ss03 (5954).jpg,0.5078,6,3,Medium
ss02 (411).jpg,0.4861,5,3,Medium
ss03 (6462).jpg,0.4272,5,3,Medium
ss02 (562).jpg,0.358,4,2,Medium
ss01 (13).jpg,0.6421,7,4,Medium
ss02 (696).jpg,0.5815,6,3,Medium
ss02 (299).jpg,0.4328,5,3,Medium
ss02 (189).jpg,0.4678,5,3,Medium
ss01 (258).jpg,0.5829,6,3,Medium
ss03 (5851).jpg,0.6128,7,3,Medium
ss01 (1992).jpg,0.508,6,3,Medium
ss03 (1993).jpg,0.618,7,3,Medium
ss02 (210).jpg,0.4237,5,3,Medium
ss01 (890).jpg,0.4903,5,3,Medium
ss01 (1799).jpg,0.3617,4,2,Medium
ss02 (202).jpg,0.4054,5,3,Medium
ss03 (7628).jpg,0.6313,7,4,Medium
ss02 (1214).jpg,0.4869,5,3,Medium
ss02 (762).jpg,0.5832,6,3,Medium
ss03 (2000).jpg,0.632,7,4,Medium
ss03 (5713).jpg,0.6341,7,4,Medium
ss01 (1187).jpg,0.4189,5,3,Medium
ss03 (925).jpg,0.3991,5,3,Medium
ss02 (910).jpg,0.4323,5,3,Medium
ss01 (1470).jpg,0.4338,5,3,Medium
ss01 (112).jpg,0.6407,7,4,Medium
ss01 (1017).jpg,0.4412,5,3,Medium
ss03 (2459).jpg,0.8217,8,4,High
ss03 (4350).jpg,0.8515,9,4,High
ss03 (7124).jpg,0.8717,9,4,High
ss03 (4675).jpg,0.8027,8,4,High
ss03 (51).jpg,0.7927,8,4,High
ss03 (5093).jpg,0.8386,9,4,High
ss03 (1104).jpg,0.7767,8,4,High
ss03 (4818).jpg,0.8076,8,4,High
ss03 (5367).jpg,0.8214,8,4,High
ss01 (1397).jpg,0.6792,7,4,High
ss03 (4609).jpg,0.8164,8,4,High
ss03 (3275).jpg,0.6842,7,4,High
ss03 (7417).jpg,0.7594,8,4,High
ss03 (1387).jpg,0.71,7,4,High
ss03 (7128).jpg,0.8498,9,4,High
ss03 (1090).jpg,0.8903,9,5,High
ss03 (2663).jpg,0.7172,7,4,High
ss03 (4255).jpg,0.7874,8,4,High
ss03 (6992).jpg,0.7881,8,4,High
ss03 (7674).jpg,0.749,8,4,High
ss03 (4791).jpg,0.8096,8,4,High
ss03 (2564).jpg,0.7733,8,4,High
ss03 (4045).jpg,0.8569,9,4,High
ss03 (7790).jpg,0.8226,8,4,High
ss03 (695).jpg,0.758,8,4,High
ss03 (4630).jpg,0.7502,8,4,High
ss03 (2955).jpg,0.7538,8,4,High
ss03 (5177).jpg,0.8024,8,4,High
ss03 (4538).jpg,0.8802,9,5,High
ss03 (6448).jpg,0.7376,8,4,High
ss03 (742).jpg,0.7522,8,4,High
ss03 (4442).jpg,0.8397,9,4,High
ss03 (3640).jpg,0.7768,8,4,High
